Id qu?c gia,Qu?c gia,C?p nh?t l?n cu?i
1,Afganistan,2/15/2006 9:44
2,Algeria,2/15/2006 9:44
3,Samoa Hoa K?,2/15/2006 9:44
4,Angola,2/15/2006 9:44
5,Anguilla,2/15/2006 9:44
6,Argentina,2/15/2006 9:44
7,Armenia,2/15/2006 9:44
8,Úc,2/15/2006 9:44
9,Áo,2/15/2006 9:44
10,Azerbaijan,2/15/2006 9:44
11,Bahrain,2/15/2006 9:44
12,Bangladesh,2/15/2006 9:44
13,Belarus,2/15/2006 9:44
14,Bolivia,2/15/2006 9:44
15,Brazil,2/15/2006 9:44
16,Brunei,2/15/2006 9:44
17,Bulgaria,2/15/2006 9:44
18,Campuchia,2/15/2006 9:44
19,Cameroon,2/15/2006 9:44
20,Canada,2/15/2006 9:44
21,Chad,2/15/2006 9:44
22,Chile,2/15/2006 9:44
23,Trung Qu?c,2/15/2006 9:44
24,Colombia,2/15/2006 9:44
25,C?ng hoà Dân ch? Congo,2/15/2006 9:44
26,C?ng hoà Séc,2/15/2006 9:44
27,C?ng hoà Dominican,2/15/2006 9:44
28,Ecuador,2/15/2006 9:44
29,Ai C?p,2/15/2006 9:44
30,Estonia,2/15/2006 9:44
31,Ethiopia,2/15/2006 9:44
32,Qu?n ??o Faroe,2/15/2006 9:44
33,Ph?n Lan,2/15/2006 9:44
34,Pháp,2/15/2006 9:44
35,Guiana Pháp,2/15/2006 9:44
36,??o Polynesia Pháp,2/15/2006 9:44
37,Gambia,2/15/2006 9:44
38,??c,2/15/2006 9:44
39,Hy L?p,2/15/2006 9:44
40,Greenland,2/15/2006 9:44
41,Thành chính (Thành ph? Vatican),2/15/2006 9:44
42,H?ng Kông,2/15/2006 9:44
43,Hungary,2/15/2006 9:44
44,?n ??,2/15/2006 9:44
45,Indonêxia,2/15/2006 9:44
46,Iran,2/15/2006 9:44
47,Iraq,2/15/2006 9:44
48,Israel,2/15/2006 9:44
49,Ý,2/15/2006 9:44
50,Nh?t B?n,2/15/2006 9:44
51,Kazakhstan,2/15/2006 9:44
52,Kenya,2/15/2006 9:44
53,Kuwait,2/15/2006 9:44
54,Latvia,2/15/2006 9:44
55,Liechtenstein,2/15/2006 9:44
56,Lithuania,2/15/2006 9:44
57,Madagascar,2/15/2006 9:44
58,Malawi,2/15/2006 9:44
59,Malaysia,2/15/2006 9:44
60,Mexico,2/15/2006 9:44
61,Moldova,2/15/2006 9:44
62,Ma-r?c,2/15/2006 9:44
63,Mozambique,2/15/2006 9:44
64,Mi?n ?i?n,2/15/2006 9:44
65,Nauru,2/15/2006 9:44
66,Nepal,2/15/2006 9:44
67,Hà Lan,2/15/2006 9:44
68,New Zealand,2/15/2006 9:44
69,Nigeria,2/15/2006 9:44
70,B?c Tri?u Tiên,2/15/2006 9:44
71,Oman,2/15/2006 9:44
72,Pakistan,2/15/2006 9:44
73,Paraguay,2/15/2006 9:44
74,Peru,2/15/2006 9:44
75,Philippines,2/15/2006 9:44
76,Ba Lan,2/15/2006 9:44
77,Puerto Rico,2/15/2006 9:44
78,Romania,2/15/2006 9:44
79,Runion,2/15/2006 9:44
80,Liên bang Nga,2/15/2006 9:44
81,Saint Vincent và Grenadines,2/15/2006 9:44
82,? R?p Xê-út,2/15/2006 9:44
83,Senegal,2/15/2006 9:44
84,Slovakia,2/15/2006 9:44
85,Nam Phi,2/15/2006 9:44
86,Hàn Qu?c,2/15/2006 9:44
87,Tây Ban Nha,2/15/2006 9:44
88,Sri Lanka,2/15/2006 9:44
89,Sudan,2/15/2006 9:44
90,Th?y ?i?n,2/15/2006 9:44
91,Th?y S?,2/15/2006 9:44
92,?ài Loan,2/15/2006 9:44
93,Tanzania,2/15/2006 9:44
94,Thái Lan,2/15/2006 9:44
95,Tonga,2/15/2006 9:44
96,Tunisia,2/15/2006 9:44
97,Th? Nh? K?,2/15/2006 9:44
98,Turkmenistan,2/15/2006 9:44
99,Tuvalu,2/15/2006 9:44
100,Ukraine,2/15/2006 9:44
101,Liên bang các Ti?u v??ng qu?c Arab,2/15/2006 9:44
102,V??ng qu?c Anh,2/15/2006 9:44
103,Hoa K?,2/15/2006 9:44
104,Venezuela,2/15/2006 9:44
105,Vi?t Nam,2/15/2006 9:44
106,"Qu?n ??o Virgin, Hoa K?",2/15/2006 9:44
107,Yemen,2/15/2006 9:44
108,Yugoslavia,2/15/2006 9:44
109,Zambia,2/15/2006 9:44
