ID thanh toán,ID khách hàng,ID nhân viên,ID thuê,S? ti?n,Ngày thanh toán
16050,269,2,7,1.99,1/24/2007
16051,269,1,98,0.99,1/25/2007
16052,269,2,678,6.99,1/28/2007
16053,269,2,703,0.99,1/29/2007
16054,269,1,750,4.99,1/29/2007
16055,269,2,1099,2.99,1/31/2007
16056,270,1,193,1.99,1/26/2007
16057,270,1,1040,4.99,1/31/2007
16058,271,1,1096,8.99,1/31/2007
16059,272,1,33,0.99,1/25/2007
16060,272,1,405,6.99,1/27/2007
16061,272,1,1041,6.99,1/31/2007
16062,272,1,1072,0.99,1/31/2007
16063,273,2,122,3.99,1/25/2007
16064,273,2,980,0.99,1/30/2007
16065,274,1,147,2.99,1/25/2007
16066,274,1,208,4.99,1/26/2007
16067,274,2,301,2.99,1/26/2007
16068,274,1,394,5.99,1/27/2007
16069,274,2,474,2.99,1/27/2007
16070,274,1,892,4.99,1/30/2007
16071,275,2,336,2.99,1/27/2007
16072,276,1,736,3.99,1/29/2007
16073,276,1,860,10.99,1/30/2007
16074,277,2,308,6.99,1/26/2007
16075,278,1,1092,4.99,1/31/2007
16076,279,1,979,2.99,1/30/2007
16077,279,2,1019,0.99,1/31/2007
16078,280,1,1014,4.99,1/31/2007
16079,281,2,650,2.99,1/28/2007
16080,281,2,754,2.99,1/29/2007
16081,282,2,48,1.99,1/25/2007
16082,282,2,282,6.99,1/26/2007
16083,282,2,564,0.99,1/28/2007
16084,284,2,423,0.99,1/27/2007
16085,284,2,791,0.99,1/29/2007
16086,284,1,1145,6.99,1/31/2007
16087,286,2,81,6.99,1/25/2007
16088,287,2,498,0.99,1/27/2007
16089,287,1,655,2.99,1/28/2007
16090,287,2,964,2.99,1/30/2007
16091,288,2,93,3.99,1/25/2007
16092,288,2,427,6.99,1/27/2007
16093,288,1,503,4.99,1/28/2007
16094,288,2,565,5.99,1/28/2007
16095,290,1,160,2.99,1/26/2007
16096,291,1,54,4.99,1/25/2007
16097,291,2,747,4.99,1/29/2007
16098,291,1,1012,2.99,1/31/2007
16099,292,1,324,0.99,1/26/2007
16100,293,2,445,0.99,1/27/2007
16101,293,1,924,4.99,1/30/2007
16102,293,2,1034,8.99,1/31/2007
16103,294,1,595,1.99,1/28/2007
16104,295,2,371,3.99,1/27/2007
16105,296,2,162,4.99,1/26/2007
16106,296,1,511,5.99,1/28/2007
16107,296,1,869,4.99,1/30/2007
16108,296,2,956,2.99,1/30/2007
16109,297,2,143,0.99,1/25/2007
