Id thuê,Ngày thuê,Id tài s?n,Id khách hàng,Ngày tr?,Id nhân viên,C?p nh?t cu?i cùng
2,5/24/2005,1525,459,5/28/2005,1,2/16/2006
3,5/24/2005,1711,408,6/1/2005,1,2/16/2006
4,5/24/2005,2452,333,6/3/2005,2,2/16/2006
5,5/24/2005,2079,222,6/2/2005,1,2/16/2006
6,5/24/2005,2792,549,5/27/2005,1,2/16/2006
7,5/24/2005,3995,269,5/29/2005,2,2/16/2006
8,5/24/2005,2346,239,5/27/2005,2,2/16/2006
9,5/25/2005,2580,126,5/28/2005,1,2/16/2006
10,5/25/2005,1824,399,5/31/2005,2,2/16/2006
11,5/25/2005,4443,142,6/2/2005,2,2/16/2006
12,5/25/2005,1584,261,5/30/2005,2,2/16/2006
13,5/25/2005,2294,334,5/30/2005,1,2/16/2006
14,5/25/2005,2701,446,5/26/2005,1,2/16/2006
15,5/25/2005,3049,319,6/3/2005,1,2/16/2006
16,5/25/2005,389,316,5/26/2005,2,2/16/2006
17,5/25/2005,830,575,5/27/2005,1,2/16/2006
18,5/25/2005,3376,19,5/31/2005,2,2/16/2006
19,5/25/2005,1941,456,5/31/2005,1,2/16/2006
20,5/25/2005,3517,185,5/27/2005,2,2/16/2006
21,5/25/2005,146,388,5/26/2005,2,2/16/2006
22,5/25/2005,727,509,5/26/2005,2,2/16/2006
23,5/25/2005,4441,438,5/29/2005,1,2/16/2006
24,5/25/2005,3273,350,5/27/2005,1,2/16/2006
25,5/25/2005,3961,37,5/27/2005,2,2/16/2006
26,5/25/2005,4371,371,5/31/2005,1,2/16/2006
27,5/25/2005,1225,301,5/30/2005,2,2/16/2006
28,5/25/2005,4068,232,5/26/2005,2,2/16/2006
29,5/25/2005,611,44,5/30/2005,2,2/16/2006
30,5/25/2005,3744,430,5/30/2005,1,2/16/2006
31,5/25/2005,4482,369,5/30/2005,1,2/16/2006
32,5/25/2005,3832,230,5/25/2005,1,2/16/2006
33,5/25/2005,1681,272,5/27/2005,1,2/16/2006
34,5/25/2005,2613,597,5/29/2005,2,2/16/2006
35,5/25/2005,1286,484,5/27/2005,2,2/16/2006
36,5/25/2005,1308,88,5/29/2005,1,2/16/2006
37,5/25/2005,403,535,5/29/2005,1,2/16/2006
38,5/25/2005,2540,302,6/1/2005,1,2/16/2006
39,5/25/2005,4466,207,5/31/2005,2,2/16/2006
40,5/25/2005,2638,413,5/27/2005,1,2/16/2006
41,5/25/2005,1761,174,6/2/2005,1,2/16/2006
42,5/25/2005,380,523,5/31/2005,2,2/16/2006
43,5/25/2005,2578,532,5/26/2005,2,2/16/2006
44,5/25/2005,3098,207,5/29/2005,2,2/16/2006
45,5/25/2005,1853,436,6/2/2005,2,2/16/2006
46,5/25/2005,3318,7,6/2/2005,2,2/16/2006
47,5/25/2005,2211,35,5/30/2005,1,2/16/2006
48,5/25/2005,1780,282,6/2/2005,1,2/16/2006
49,5/25/2005,2965,498,5/30/2005,2,2/16/2006
50,5/25/2005,1983,18,5/28/2005,2,2/16/2006
51,5/25/2005,1257,256,5/26/2005,1,2/16/2006
52,5/25/2005,4017,507,5/31/2005,2,2/16/2006
53,5/25/2005,1255,569,5/27/2005,2,2/16/2006
54,5/25/2005,2787,291,6/1/2005,2,2/16/2006
55,5/25/2005,1139,131,5/30/2005,1,2/16/2006
56,5/25/2005,1352,511,5/26/2005,1,2/16/2006
57,5/25/2005,3938,6,5/29/2005,2,2/16/2006
58,5/25/2005,3050,323,5/28/2005,1,2/16/2006
59,5/25/2005,2884,408,6/1/2005,1,2/16/2006
60,5/25/2005,330,470,5/30/2005,1,2/16/2006
61,5/25/2005,4210,250,6/2/2005,2,2/16/2006
62,5/25/2005,261,419,5/30/2005,1,2/16/2006
63,5/25/2005,4008,383,5/27/2005,1,2/16/2006
64,5/25/2005,79,368,6/3/2005,1,2/16/2006
65,5/25/2005,3552,346,5/29/2005,1,2/16/2006
66,5/25/2005,1162,86,5/29/2005,2,2/16/2006
67,5/25/2005,239,119,5/27/2005,2,2/16/2006
68,5/25/2005,4029,120,5/31/2005,2,2/16/2006
69,5/25/2005,3207,305,5/27/2005,2,2/16/2006
70,5/25/2005,2168,73,5/27/2005,2,2/16/2006
71,5/25/2005,2408,100,5/28/2005,1,2/16/2006
72,5/25/2005,2260,48,5/28/2005,2,2/16/2006
73,5/25/2005,517,391,6/1/2005,2,2/16/2006
74,5/25/2005,1744,265,5/26/2005,2,2/16/2006
75,5/25/2005,3393,510,6/3/2005,1,2/16/2006
76,5/25/2005,3021,1,6/3/2005,2,2/16/2006
77,5/25/2005,1303,451,5/26/2005,2,2/16/2006
78,5/25/2005,4067,135,5/31/2005,2,2/16/2006
79,5/25/2005,3299,245,6/3/2005,2,2/16/2006
80,5/25/2005,2478,314,5/31/2005,2,2/16/2006
81,5/25/2005,2610,286,6/2/2005,2,2/16/2006
82,5/25/2005,1388,427,6/1/2005,1,2/16/2006
83,5/25/2005,466,131,5/27/2005,1,2/16/2006
84,5/25/2005,1829,492,5/29/2005,1,2/16/2006
85,5/25/2005,470,414,5/29/2005,1,2/16/2006
86,5/25/2005,2275,266,5/30/2005,1,2/16/2006
87,5/25/2005,1586,331,5/29/2005,2,2/16/2006
88,5/25/2005,2221,53,5/29/2005,2,2/16/2006
89,5/25/2005,2181,499,5/29/2005,1,2/16/2006
90,5/25/2005,2984,25,6/1/2005,1,2/16/2006
91,5/25/2005,139,267,6/1/2005,1,2/16/2006
92,5/25/2005,775,302,5/31/2005,2,2/16/2006
93,5/25/2005,4360,288,6/3/2005,1,2/16/2006
94,5/25/2005,1675,197,5/30/2005,1,2/16/2006
95,5/25/2005,178,400,6/2/2005,2,2/16/2006
96,5/25/2005,3418,49,5/30/2005,2,2/16/2006
97,5/25/2005,1283,263,5/28/2005,2,2/16/2006
98,5/25/2005,2970,269,5/27/2005,2,2/16/2006
99,5/25/2005,535,44,5/28/2005,1,2/16/2006
100,5/25/2005,2599,208,6/2/2005,1,2/16/2006
101,5/25/2005,617,468,5/31/2005,1,2/16/2006
102,5/25/2005,373,343,5/31/2005,1,2/16/2006
103,5/25/2005,3343,384,6/3/2005,1,2/16/2006
104,5/25/2005,4281,310,5/27/2005,1,2/16/2006
105,5/25/2005,794,108,5/30/2005,2,2/16/2006
106,5/25/2005,3627,196,6/4/2005,2,2/16/2006
107,5/25/2005,2833,317,6/3/2005,2,2/16/2006
108,5/25/2005,3289,242,5/30/2005,1,2/16/2006
109,5/25/2005,1044,503,5/29/2005,2,2/16/2006
110,5/25/2005,4108,19,6/3/2005,2,2/16/2006
111,5/25/2005,3725,227,5/28/2005,1,2/16/2006
112,5/25/2005,2153,500,6/2/2005,1,2/16/2006
113,5/25/2005,2963,93,5/27/2005,2,2/16/2006
114,5/25/2005,4502,506,6/1/2005,1,2/16/2006
115,5/25/2005,749,455,5/29/2005,1,2/16/2006
116,5/25/2005,4453,18,5/26/2005,1,2/16/2006
117,5/25/2005,4278,7,5/31/2005,2,2/16/2006
118,5/25/2005,872,524,5/31/2005,1,2/16/2006
119,5/25/2005,1359,51,5/29/2005,2,2/16/2006
120,5/25/2005,37,365,6/1/2005,2,2/16/2006
121,5/25/2005,1053,405,5/29/2005,1,2/16/2006
122,5/25/2005,2908,273,6/2/2005,1,2/16/2006
123,5/25/2005,1795,43,5/26/2005,1,2/16/2006
124,5/25/2005,212,246,5/30/2005,2,2/16/2006
125,5/25/2005,952,368,6/2/2005,1,2/16/2006
126,5/25/2005,2047,439,5/28/2005,1,2/16/2006
127,5/25/2005,2026,94,6/2/2005,1,2/16/2006
128,5/25/2005,4322,40,5/29/2005,1,2/16/2006
129,5/25/2005,4154,23,6/4/2005,2,2/16/2006
130,5/25/2005,3990,56,5/30/2005,2,2/16/2006
131,5/25/2005,815,325,5/30/2005,2,2/16/2006
132,5/25/2005,3367,479,5/31/2005,1,2/16/2006
133,5/25/2005,399,237,5/30/2005,2,2/16/2006
134,5/25/2005,2272,222,6/2/2005,1,2/16/2006
135,5/25/2005,103,304,6/3/2005,1,2/16/2006
136,5/25/2005,2296,504,5/31/2005,1,2/16/2006
137,5/25/2005,2591,560,6/1/2005,2,2/16/2006
138,5/25/2005,4134,586,5/29/2005,2,2/16/2006
139,5/25/2005,327,257,5/29/2005,1,2/16/2006
140,5/25/2005,655,354,5/27/2005,1,2/16/2006
141,5/25/2005,811,89,6/2/2005,1,2/16/2006
142,5/25/2005,4407,472,5/29/2005,2,2/16/2006
143,5/25/2005,847,297,5/27/2005,2,2/16/2006
144,5/25/2005,1689,357,6/1/2005,2,2/16/2006
145,5/25/2005,3905,82,5/31/2005,1,2/16/2006
146,5/26/2005,1431,433,6/4/2005,2,2/16/2006
147,5/26/2005,633,274,5/29/2005,2,2/16/2006
148,5/26/2005,4252,142,6/1/2005,2,2/16/2006
149,5/26/2005,1084,319,6/2/2005,2,2/16/2006
150,5/26/2005,909,429,6/1/2005,2,2/16/2006
151,5/26/2005,2942,14,5/30/2005,1,2/16/2006
152,5/26/2005,2622,57,6/3/2005,1,2/16/2006
153,5/26/2005,3888,348,5/27/2005,1,2/16/2006
154,5/26/2005,1354,185,5/29/2005,2,2/16/2006
155,5/26/2005,288,551,6/1/2005,1,2/16/2006
156,5/26/2005,3193,462,5/27/2005,1,2/16/2006
157,5/26/2005,887,344,5/26/2005,2,2/16/2006
158,5/26/2005,2395,354,6/3/2005,2,2/16/2006
159,5/26/2005,3453,505,5/29/2005,1,2/16/2006
160,5/26/2005,1885,290,6/1/2005,1,2/16/2006
161,5/26/2005,2941,182,5/27/2005,1,2/16/2006
162,5/26/2005,1229,296,5/27/2005,2,2/16/2006
163,5/26/2005,2306,104,6/4/2005,1,2/16/2006
164,5/26/2005,1070,151,5/28/2005,1,2/16/2006
165,5/26/2005,2735,33,6/2/2005,1,2/16/2006
166,5/26/2005,3894,322,5/31/2005,1,2/16/2006
167,5/26/2005,865,401,5/27/2005,1,2/16/2006
