inventory_key,rental_key,rental_date_key,remaining,Total_Rental_Amount
0,3516,19960101.0,4578,8.97
0,10084,19960102.0,4578,8.97
0,13365,19960103.0,4578,8.97
1,771,19960104.0,4576,7.95
1,2840,19960105.0,4576,7.95
1,8100,19960106.0,4576,7.95
1,14104,19960107.0,4576,7.95
1,15670,19960108.0,4576,7.95
2,8777,19960109.0,4579,1.98
2,14072,19960110.0,4579,1.98
3,9534,19960111.0,4579,1.98
3,13275,19960112.0,4579,1.98
5,1854,19960113.0,4576,8.95
5,3043,19960114.0,4576,8.95
5,5820,19960115.0,4576,8.95
5,12749,19960116.0,4576,8.95
5,15059,19960117.0,4576,8.95
6,4419,19960118.0,4577,4.96
6,7162,19960119.0,4577,4.96
6,13449,19960120.0,4577,4.96
6,15908,19960121.0,4577,4.96
7,8792,19960122.0,4579,1.98
7,11302,19960123.0,4579,1.98
8,8961,19960124.0,4579,9.98
8,12072,19960125.0,4579,9.98
9,3017,19960126.0,4578,24.97
9,6385,19960127.0,4578,24.97
9,13869,19960128.0,4578,24.97
10,9643,19960129.0,4579,17.98
10,10409,19960130.0,4579,17.98
11,5651,19960131.0,4579,5.98
11,13533,19960201.0,4579,5.98
12,9957,19960202.0,4579,5.98
12,14438,19960203.0,4579,5.98
13,81,19960204.0,4576,16.950000000000003
13,2550,19960205.0,4576,16.950000000000003
13,9088,19960206.0,4576,16.950000000000003
13,10496,19960207.0,4576,16.950000000000003
13,15731,19960208.0,4576,16.950000000000003
14,2609,19960209.0,4578,8.97
14,6238,19960210.0,4578,8.97
14,11378,19960211.0,4578,8.97
15,5146,19960212.0,4578,12.97
15,7583,19960213.0,4578,12.97
15,14003,19960214.0,4578,12.97
16,744,19960215.0,4576,17.950000000000003
16,4335,19960216.0,4576,17.950000000000003
16,5622,19960217.0,4576,17.950000000000003
16,10365,19960218.0,4576,17.950000000000003
16,15693,19960219.0,4576,17.950000000000003
17,6983,19960220.0,4579,6.98
17,13850,19960221.0,4579,6.98
18,2159,19960222.0,4578,15.97
18,8514,19960223.0,4578,15.97
18,13825,19960224.0,4578,15.97
19,370,19960225.0,4577,14.96
19,3442,19960226.0,4577,14.96
19,11377,19960227.0,4577,14.96
19,15163,19960228.0,4577,14.96
20,5001,19960229.0,4578,11.97
20,8011,19960301.0,4578,11.97
20,14193,19960302.0,4578,11.97
21,3455,19960303.0,4578,10.97
21,6654,19960304.0,4578,10.97
21,12594,19960305.0,4578,10.97
22,268,19960306.0,4576,19.950000000000003
22,5267,19960307.0,4576,19.950000000000003
22,9780,19960308.0,4576,19.950000000000003
22,11577,19960309.0,4576,19.950000000000003
22,15250,19960310.0,4576,19.950000000000003
23,908,19960311.0,4577,18.96
23,4015,19960312.0,4577,18.96
23,6445,19960313.0,4577,18.96
23,11694,19960314.0,4577,18.96
24,3683,19960315.0,4578,12.97
24,8502,19960316.0,4578,12.97
24,14109,19960317.0,4578,12.97
25,2044,19960318.0,4576,24.950000000000003
25,3247,19960319.0,4576,24.950000000000003
25,7005,19960320.0,4576,24.950000000000003
25,11415,19960321.0,4576,24.950000000000003
25,15016,19960322.0,4576,24.950000000000003
26,1618,19960323.0,4577,25.96
26,2220,19960324.0,4577,25.96
26,9177,19960325.0,4577,25.96
26,10595,19960326.0,4577,25.96
27,6915,19960327.0,4579,11.98
27,12447,19960328.0,4579,11.98
28,4459,19960329.0,4578,19.97
28,9136,19960330.0,4578,19.97
28,11164,19960331.0,4578,19.97
29,1222,19960401.0,4576,30.950000000000003
29,2409,19960402.0,4576,30.950000000000003
29,6462,19960403.0,4576,30.950000000000003
29,11114,19960404.0,4576,30.950000000000003
