date_key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag
19960101,1/1/1996,1,1,1,Monday,Mon,Y,1,1,1/1/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960102,1/2/1996,2,2,2,Tuesday,Tue,Y,1,1,1/1/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960103,1/3/1996,3,3,3,Wednesday,Wed,Y,1,1,1/1/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960104,1/4/1996,4,4,4,Thursday,Thu,Y,1,1,1/1/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960105,1/5/1996,5,5,5,Friday,Fri,Y,1,1,1/1/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960106,1/6/1996,6,6,6,Saturday,Sat,N,1,1,1/1/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960107,1/7/1996,7,7,7,Sunday,Sun,N,1,1,1/1/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960108,1/8/1996,1,8,8,Monday,Mon,Y,2,2,1/8/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960109,1/9/1996,2,9,9,Tuesday,Tue,Y,2,2,1/8/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960110,1/10/1996,3,10,10,Wednesday,Wed,Y,2,2,1/8/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960111,1/11/1996,4,11,11,Thursday,Thu,Y,2,2,1/8/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960112,1/12/1996,5,12,12,Friday,Fri,Y,2,2,1/8/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960113,1/13/1996,6,13,13,Saturday,Sat,N,2,2,1/8/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960114,1/14/1996,7,14,14,Sunday,Sun,N,2,2,1/8/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960115,1/15/1996,1,15,15,Monday,Mon,Y,3,3,1/15/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960116,1/16/1996,2,16,16,Tuesday,Tue,Y,3,3,1/15/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960117,1/17/1996,3,17,17,Wednesday,Wed,Y,3,3,1/15/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960118,1/18/1996,4,18,18,Thursday,Thu,Y,3,3,1/15/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960119,1/19/1996,5,19,19,Friday,Fri,Y,3,3,1/15/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960120,1/20/1996,6,20,20,Saturday,Sat,N,3,3,1/15/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960121,1/21/1996,7,21,21,Sunday,Sun,N,3,3,1/15/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960122,1/22/1996,1,22,22,Monday,Mon,Y,4,4,1/22/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960123,1/23/1996,2,23,23,Tuesday,Tue,Y,4,4,1/22/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960124,1/24/1996,3,24,24,Wednesday,Wed,Y,4,4,1/22/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960125,1/25/1996,4,25,25,Thursday,Thu,Y,4,4,1/22/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960126,1/26/1996,5,26,26,Friday,Fri,Y,4,4,1/22/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960127,1/27/1996,6,27,27,Saturday,Sat,N,4,4,1/22/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960128,1/28/1996,7,28,28,Sunday,Sun,N,4,4,1/22/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960129,1/29/1996,1,29,29,Monday,Mon,Y,5,5,1/29/1996,19960129,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960130,1/30/1996,2,30,30,Tuesday,Tue,Y,5,5,1/29/1996,19960129,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960131,1/31/1996,3,31,31,Wednesday,Wed,Y,5,5,1/29/1996,19960129,1,1,January,Jan,1,1996,199601,7,3,1996,Y
19960201,2/1/1996,4,1,32,Thursday,Thu,Y,5,5,1/29/1996,19960129,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960202,2/2/1996,5,2,33,Friday,Fri,Y,5,5,1/29/1996,19960129,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960203,2/3/1996,6,3,34,Saturday,Sat,N,5,5,1/29/1996,19960129,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960204,2/4/1996,7,4,35,Sunday,Sun,N,5,5,1/29/1996,19960129,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960205,2/5/1996,1,5,36,Monday,Mon,Y,6,6,2/5/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960206,2/6/1996,2,6,37,Tuesday,Tue,Y,6,6,2/5/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960207,2/7/1996,3,7,38,Wednesday,Wed,Y,6,6,2/5/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960208,2/8/1996,4,8,39,Thursday,Thu,Y,6,6,2/5/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960209,2/9/1996,5,9,40,Friday,Fri,Y,6,6,2/5/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960210,2/10/1996,6,10,41,Saturday,Sat,N,6,6,2/5/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960211,2/11/1996,7,11,42,Sunday,Sun,N,6,6,2/5/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960212,2/12/1996,1,12,43,Monday,Mon,Y,7,7,2/12/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960213,2/13/1996,2,13,44,Tuesday,Tue,Y,7,7,2/12/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960214,2/14/1996,3,14,45,Wednesday,Wed,Y,7,7,2/12/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960215,2/15/1996,4,15,46,Thursday,Thu,Y,7,7,2/12/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960216,2/16/1996,5,16,47,Friday,Fri,Y,7,7,2/12/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960217,2/17/1996,6,17,48,Saturday,Sat,N,7,7,2/12/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960218,2/18/1996,7,18,49,Sunday,Sun,N,7,7,2/12/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960219,2/19/1996,1,19,50,Monday,Mon,Y,8,8,2/19/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960220,2/20/1996,2,20,51,Tuesday,Tue,Y,8,8,2/19/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960221,2/21/1996,3,21,52,Wednesday,Wed,Y,8,8,2/19/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960222,2/22/1996,4,22,53,Thursday,Thu,Y,8,8,2/19/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960223,2/23/1996,5,23,54,Friday,Fri,Y,8,8,2/19/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960224,2/24/1996,6,24,55,Saturday,Sat,N,8,8,2/19/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960225,2/25/1996,7,25,56,Sunday,Sun,N,8,8,2/19/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960226,2/26/1996,1,26,57,Monday,Mon,Y,9,9,2/26/1996,19960226,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960227,2/27/1996,2,27,58,Tuesday,Tue,Y,9,9,2/26/1996,19960226,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960228,2/28/1996,3,28,59,Wednesday,Wed,Y,9,9,2/26/1996,19960226,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960229,2/29/1996,4,29,60,Thursday,Thu,Y,9,9,2/26/1996,19960226,2,2,February,Feb,1,1996,199602,8,3,1996,Y
19960301,3/1/1996,5,1,61,Friday,Fri,Y,9,9,2/26/1996,19960226,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960302,3/2/1996,6,2,62,Saturday,Sat,N,9,9,2/26/1996,19960226,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960303,3/3/1996,7,3,63,Sunday,Sun,N,9,9,2/26/1996,19960226,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960304,3/4/1996,1,4,64,Monday,Mon,Y,10,10,3/4/1996,19960304,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960305,3/5/1996,2,5,65,Tuesday,Tue,Y,10,10,3/4/1996,19960304,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960306,3/6/1996,3,6,66,Wednesday,Wed,Y,10,10,3/4/1996,19960304,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960307,3/7/1996,4,7,67,Thursday,Thu,Y,10,10,3/4/1996,19960304,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960308,3/8/1996,5,8,68,Friday,Fri,Y,10,10,3/4/1996,19960304,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960309,3/9/1996,6,9,69,Saturday,Sat,N,10,10,3/4/1996,19960304,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960310,3/10/1996,7,10,70,Sunday,Sun,N,10,10,3/4/1996,19960304,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960311,3/11/1996,1,11,71,Monday,Mon,Y,11,11,3/11/1996,19960311,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960312,3/12/1996,2,12,72,Tuesday,Tue,Y,11,11,3/11/1996,19960311,3,3,March,Mar,1,1996,199603,9,3,1996,N
