inventory_key,inventory_id,title,description,release_year,language,rental_duration,rental_rate,length,replacement_cost,rating,special_features,catalogy name
0,1,ACADEMY DINOSAUR,An Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006.0,English             ,6,0.99,86.0,20.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Documentary
1,2,ACADEMY DINOSAUR,An Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006.0,English             ,6,0.99,86.0,20.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Documentary
2,3,ACADEMY DINOSAUR,An Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006.0,English             ,6,0.99,86.0,20.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Documentary
3,4,ACADEMY DINOSAUR,An Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006.0,English             ,6,0.99,86.0,20.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Documentary
4,5,ACADEMY DINOSAUR,An Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006.0,English             ,6,0.99,86.0,20.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Documentary
5,6,ACADEMY DINOSAUR,An Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006.0,English             ,6,0.99,86.0,20.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Documentary
6,7,ACADEMY DINOSAUR,An Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006.0,English             ,6,0.99,86.0,20.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Documentary
7,8,ACADEMY DINOSAUR,An Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006.0,English             ,6,0.99,86.0,20.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Documentary
8,9,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006.0,English             ,3,4.99,48.0,12.99,G,"{Trailers,""Deleted Scenes""}",Horror
9,10,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006.0,English             ,3,4.99,48.0,12.99,G,"{Trailers,""Deleted Scenes""}",Horror
10,11,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006.0,English             ,3,4.99,48.0,12.99,G,"{Trailers,""Deleted Scenes""}",Horror
11,12,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006.0,English             ,7,2.99,50.0,18.99,NC-17,"{Trailers,""Deleted Scenes""}",Documentary
12,13,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006.0,English             ,7,2.99,50.0,18.99,NC-17,"{Trailers,""Deleted Scenes""}",Documentary
13,14,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006.0,English             ,7,2.99,50.0,18.99,NC-17,"{Trailers,""Deleted Scenes""}",Documentary
14,15,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006.0,English             ,7,2.99,50.0,18.99,NC-17,"{Trailers,""Deleted Scenes""}",Documentary
15,16,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006.0,English             ,5,2.99,117.0,26.99,G,"{Commentaries,""Behind the Scenes""}",Horror
16,17,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006.0,English             ,5,2.99,117.0,26.99,G,"{Commentaries,""Behind the Scenes""}",Horror
17,18,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006.0,English             ,5,2.99,117.0,26.99,G,"{Commentaries,""Behind the Scenes""}",Horror
18,19,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006.0,English             ,5,2.99,117.0,26.99,G,"{Commentaries,""Behind the Scenes""}",Horror
19,20,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006.0,English             ,5,2.99,117.0,26.99,G,"{Commentaries,""Behind the Scenes""}",Horror
20,21,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006.0,English             ,5,2.99,117.0,26.99,G,"{Commentaries,""Behind the Scenes""}",Horror
21,22,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006.0,English             ,5,2.99,117.0,26.99,G,"{Commentaries,""Behind the Scenes""}",Horror
22,23,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006.0,English             ,6,2.99,130.0,22.99,G,"{""Deleted Scenes""}",Family
23,24,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006.0,English             ,6,2.99,130.0,22.99,G,"{""Deleted Scenes""}",Family
24,25,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006.0,English             ,6,2.99,130.0,22.99,G,"{""Deleted Scenes""}",Family
25,26,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006.0,English             ,3,2.99,169.0,17.99,PG,"{""Deleted Scenes""}",Foreign
26,27,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006.0,English             ,3,2.99,169.0,17.99,PG,"{""Deleted Scenes""}",Foreign
27,28,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006.0,English             ,3,2.99,169.0,17.99,PG,"{""Deleted Scenes""}",Foreign
28,29,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006.0,English             ,3,2.99,169.0,17.99,PG,"{""Deleted Scenes""}",Foreign
29,30,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006.0,English             ,3,2.99,169.0,17.99,PG,"{""Deleted Scenes""}",Foreign
30,31,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006.0,English             ,3,2.99,169.0,17.99,PG,"{""Deleted Scenes""}",Foreign
31,32,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006.0,English             ,6,4.99,62.0,28.99,PG-13,"{Trailers,""Deleted Scenes""}",Comedy
32,33,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006.0,English             ,6,4.99,62.0,28.99,PG-13,"{Trailers,""Deleted Scenes""}",Comedy
33,34,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006.0,English             ,6,4.99,62.0,28.99,PG-13,"{Trailers,""Deleted Scenes""}",Comedy
34,35,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006.0,English             ,6,4.99,62.0,28.99,PG-13,"{Trailers,""Deleted Scenes""}",Comedy
35,36,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006.0,English             ,6,4.99,62.0,28.99,PG-13,"{Trailers,""Deleted Scenes""}",Comedy
36,37,AIRPORT POLLOCK,An Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006.0,English             ,6,4.99,54.0,15.99,R,{Trailers},Horror
37,38,AIRPORT POLLOCK,An Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006.0,English             ,6,4.99,54.0,15.99,R,{Trailers},Horror
38,39,AIRPORT POLLOCK,An Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006.0,English             ,6,4.99,54.0,15.99,R,{Trailers},Horror
39,40,AIRPORT POLLOCK,An Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006.0,English             ,6,4.99,54.0,15.99,R,{Trailers},Horror
40,41,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006.0,English             ,3,2.99,114.0,21.99,PG-13,"{Trailers,""Deleted Scenes""}",Horror
41,42,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006.0,English             ,3,2.99,114.0,21.99,PG-13,"{Trailers,""Deleted Scenes""}",Horror
42,43,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006.0,English             ,3,2.99,114.0,21.99,PG-13,"{Trailers,""Deleted Scenes""}",Horror
43,44,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006.0,English             ,3,2.99,114.0,21.99,PG-13,"{Trailers,""Deleted Scenes""}",Horror
44,45,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006.0,English             ,3,2.99,114.0,21.99,PG-13,"{Trailers,""Deleted Scenes""}",Horror
45,46,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006.0,English             ,6,4.99,63.0,24.99,NC-17,"{Trailers,""Deleted Scenes""}",Sports
46,47,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006.0,English             ,6,4.99,63.0,24.99,NC-17,"{Trailers,""Deleted Scenes""}",Sports
47,48,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006.0,English             ,6,4.99,63.0,24.99,NC-17,"{Trailers,""Deleted Scenes""}",Sports
48,49,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006.0,English             ,6,4.99,63.0,24.99,NC-17,"{Trailers,""Deleted Scenes""}",Sports
49,50,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006.0,English             ,6,4.99,63.0,24.99,NC-17,"{Trailers,""Deleted Scenes""}",Sports
