rental_key,rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,amount,payment_date,rental_month
0,1346,2005-06-15,4540,585,2005-06-24,1,7.99,2005-06-15,6
1,1347,2005-06-15,374,190,2005-06-16,1,2.99,2005-06-15,6
2,1348,2005-06-15,2078,196,2005-06-17,1,2.99,2005-06-15,6
3,1349,2005-06-15,1131,267,2005-06-17,1,4.99,2005-06-15,6
4,1350,2005-06-15,4261,316,2005-06-23,1,4.99,2005-06-15,6
5,1351,2005-06-15,2364,484,2005-06-22,1,3.99,2005-06-15,6
6,1352,2005-06-15,4352,276,2005-06-18,1,0.99,2005-06-15,6
7,1353,2005-06-15,2711,480,2005-06-21,2,0.99,2005-06-15,6
8,1354,2005-06-15,1294,83,2005-06-23,2,5.99,2005-06-15,6
9,1355,2005-06-15,4203,499,2005-06-20,1,2.99,2005-06-15,6
10,1356,2005-06-15,1318,212,2005-06-19,1,0.99,2005-06-15,6
11,1357,2005-06-15,2285,205,2005-06-23,1,4.99,2005-06-15,6
12,1358,2005-06-15,2025,442,2005-06-21,1,0.99,2005-06-15,6
13,1359,2005-06-15,3140,353,2005-06-17,1,2.99,2005-06-15,6
14,1360,2005-06-15,4107,14,2005-06-18,2,4.99,2005-06-15,6
15,1361,2005-06-15,4338,115,2005-06-19,1,0.99,2005-06-15,6
16,1362,2005-06-15,4524,98,2005-06-19,1,3.99,2005-06-15,6
17,1363,2005-06-15,771,197,2005-06-17,2,0.99,2005-06-15,6
18,1364,2005-06-15,115,400,2005-06-16,1,0.99,2005-06-15,6
19,1365,2005-06-15,3813,25,2005-06-19,2,2.99,2005-06-15,6
20,1366,2005-06-15,4238,576,2005-06-24,1,4.99,2005-06-15,6
21,1367,2005-06-15,1505,94,2005-06-21,1,4.99,2005-06-15,6
22,1368,2005-06-15,2020,222,2005-06-23,2,8.99,2005-06-15,6
23,1369,2005-06-15,679,221,2005-06-16,1,0.99,2005-06-15,6
24,1370,2005-06-15,644,396,2005-06-22,2,1.99,2005-06-15,6
25,1371,2005-06-15,760,491,2005-06-23,1,4.99,2005-06-15,6
26,1372,2005-06-15,3740,108,2005-06-17,2,4.99,2005-06-15,6
27,1373,2005-06-15,284,51,2005-06-22,1,1.99,2005-06-15,6
28,1374,2005-06-15,3353,120,2005-06-22,1,3.99,2005-06-15,6
29,1375,2005-06-15,3555,500,2005-06-21,2,5.99,2005-06-15,6
30,1376,2005-06-15,4271,215,2005-06-19,1,4.99,2005-06-15,6
31,1377,2005-06-15,3410,245,2005-06-22,2,2.99,2005-06-15,6
32,1378,2005-06-15,4372,253,2005-06-19,1,1.99,2005-06-15,6
33,1379,2005-06-15,810,212,2005-06-18,1,0.99,2005-06-15,6
34,1380,2005-06-15,3376,158,2005-06-18,2,0.99,2005-06-15,6
35,1381,2005-06-15,3262,300,2005-06-20,2,0.99,2005-06-15,6
36,1382,2005-06-15,3133,455,2005-06-22,2,1.99,2005-06-15,6
37,1383,2005-06-15,1281,379,2005-06-24,2,8.99,2005-06-15,6
38,1384,2005-06-15,4242,242,2005-06-18,1,4.99,2005-06-15,6
39,1385,2005-06-15,4073,396,2005-06-18,1,4.99,2005-06-15,6
40,1386,2005-06-15,1296,322,2005-06-20,2,2.99,2005-06-15,6
41,1387,2005-06-15,515,278,2005-06-17,1,0.99,2005-06-15,6
42,1388,2005-06-15,3987,500,2005-06-22,1,5.99,2005-06-15,6
